site_name,megaplot,plot,species_name,year,total_trap_area_m2,seeds_per_m2,total_seeds,total_traps,seeds_or_cones_per_tree,total_seeds_or_cones,total_trees,collections_per_yr,plot_lat,plot_long
HBR,BB_High,BB_High,Acer_saccharum,1993,1.5,0.666666667,1,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,1994,1.5,32.66666667,49,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,1995,1.5,4,6,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,1996,1.5,22.66666667,34,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,1997,1.5,0,0,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,1998,1.5,2,3,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,1999,1.3,0.769230769,1,13,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2000,1.5,12,18,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2001,1.5,0,0,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2002,1.4,1.428571429,2,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2003,1.5,4.666666667,7,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2004,1.5,0,0,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2005,1.4,0.714285714,1,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2006,1.2,15,18,12,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2007,1.5,10,15,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2008,1.4,0,0,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2009,1.4,6.428571429,9,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2010,1.5,0,0,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2011,1.5,22.66666667,34,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2012,1.4,0,0,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2013,1.5,2,3,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2014,1.5,0,0,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2015,1.5,0,0,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2016,1.5,0,0,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2017,1.2,18.33333333,22,12,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2018,1.2,0,0,12,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2019,1.5,18.66666667,28,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Acer_saccharum,2020,1.5,3.333333333,5,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,1993,1.5,40,60,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,1994,1.5,72.66666667,109,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,1995,1.5,54,81,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,1996,1.5,86.66666667,130,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,1997,1.5,6.666666667,10,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,1998,1.5,39.33333333,59,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,1999,1.3,7.692307692,10,13,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2000,1.5,66.66666667,100,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2001,1.5,2,3,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2002,1.4,99.28571429,139,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2003,1.5,25.33333333,38,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2004,1.5,12,18,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2005,1.4,28.57142857,40,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2006,1.2,82.5,99,12,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2007,1.5,11.33333333,17,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2008,1.4,62.85714286,88,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2009,1.4,34.28571429,48,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2010,1.5,8.666666667,13,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2011,1.5,96.66666667,145,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2012,1.4,15.71428571,22,14,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2013,1.5,86,129,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2014,1.5,3.333333333,5,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2015,1.5,48.66666667,73,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2016,1.5,16,24,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2017,1.2,134.1666667,161,12,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2018,1.2,20.83333333,25,12,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2019,1.5,94,141,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_High,BB_High,Fagus_grandifolia,2020,1.5,51.33333333,77,15,NA,NA,NA,3,43.95571101,-71.74274303
HBR,BB_Low,BB_Low,Acer_saccharum,1993,1.2,0,0,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,1994,1.2,89.16666667,107,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,1995,1.2,9.166666667,11,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,1996,1.2,103.3333333,124,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,1997,1.2,1.666666667,2,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,1998,1.2,79.16666667,95,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,1999,1.2,10,12,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,2000,1.2,135,162,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,2001,1.2,0,0,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,2002,1.2,114.1666667,137,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,2003,1.2,11.66666667,14,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,2004,1.2,14.16666667,17,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,2005,1.2,0,0,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,2006,1.2,129.1666667,155,12,NA,NA,NA,3,43.94871597,-71.73551003
HBR,BB_Low,BB_Low,Acer_saccharum,2007,1.2,0.833333333,1,12,NA,NA,NA,3,43.94871597,-71.73551003
