tree ID,site ID,year,seeds,ring width,dbh,summer temp,water deficit,VPD
10,Benwell,1984,288,0.555,79.6,19.35754055,-64.72569172,0.000363429
10,Benwell,1985,114,1.505,79.9,17.22081929,-21.39748272,0.000254867
10,Benwell,1986,66,1.515,80.2,18.36393402,-47.80405885,0.000289598
10,Benwell,1987,258,1.12,80.5,16.76295044,-12.99912955,0.000256983
10,Benwell,1988,0,1.83,80.8,17.82868813,-15.61916342,0.000272476
10,Benwell,1989,227,1.625,81.1,20.27983561,-72.91180565,0.000409934
10,Benwell,1990,116,0.265,81.4,18.66229466,-47.97181536,0.000346468
10,Benwell,1991,0,1.36,81.7,18.21360615,-48.83626517,0.000282236
10,Benwell,1992,110,1.83,82,19.51737661,-69.81459318,0.000354821
10,Benwell,1993,150,1.605,82.3,18.18360615,-32.81663596,0.000288349
10,Benwell,1994,118,1.295,82.6,19.58426186,-64.8966205,0.000341292
10,Benwell,1995,172,0.905,82.9,19.25278645,-60.49589853,0.000372083
10,Benwell,1996,,1.22,83.2,19.17311433,-55.88359521,0.000355168
10,Benwell,1997,211,1.605,83.5,18.46885205,6.869394007,0.000297144
10,Benwell,1998,62,2.26,83.8,17.68458977,-8.064205758,0.000293676
10,Benwell,1999,11,2.235,84.1,18.77999958,-50.08476022,0.000298019
10,Benwell,2000,,2.135,84.4,17.75180288,-36.10623978,0.000301525
10,Benwell,2001,,2.905,84.7,18.26409795,-61.45829959,0.000335756
10,Benwell,2002,238,1.405,85,18.22590123,-28.64939603,0.000296931
10,Benwell,2003,11,2.13,85.3,19.80803234,-49.34905147,0.000372931
10,Benwell,2004,402,1.075,85.6,18.74934384,-30.51472127,0.000361415
10,Benwell,2005,0,1.81,85.9,19.17786842,-33.75091712,0.000360189
10,Benwell,2006,156,1.08,86.2,21.89622902,-68.1669887,0.000414436
10,Benwell,2007,97,1.99,86.5,18.11262255,-2.20193863,0.000277588
10,Benwell,2008,84,3.255,86.8,18.77803237,-19.10708764,0.000315103
10,Benwell,2009,339,1.79,87.1,18.6924586,-8.630507516,0.000327831
10,Benwell,2010,60,1.155,87.4,20.08622906,-53.12463641,0.00033667
10,Benwell,2011,144,0.57,87.7,18.95836023,-32.63315424,0.000343529
10,Benwell,2012,10,2.71,88,17.29114715,15.97958054,0.000246887
10,Benwell,2013,144,1.19,88.3,20.49491757,-42.86709734,0.000357966
10,Benwell,2014,196,0.835,88.6,19.95475365,-44.13272833,0.000334255
10,Benwell,2015,68,0.945,88.9,18.42360615,-27.62800331,0.000344716
10,Benwell,2016,138,1.025,89.2,18.81442581,-46.33036406,0.000328052
10,Benwell,2017,4,1.495,89.5,18.9186881,-34.82516521,0.000363589
10,Benwell,2018,140,0.875,89.8,21.15475363,-74.9516551,0.000425041
10,Benwell,2019,234,0.745,90.1,19.62721268,-20.03617558,0.000340863
10,Benwell,2020,68,0.685,90.4,18.69622909,-49.26896875,0.0003805
10,Benwell,2021,168,0.585,90.7,20.20819627,-41.11146766,0.000333473
11,Benwell,1986,9,4.015,81.8,18.36393402,-47.80405885,0.000289598
11,Benwell,1987,158,4.985,82.1,16.76295044,-12.99912955,0.000256983
11,Benwell,1988,0,4.99,82.4,17.82868813,-15.61916342,0.000272476
11,Benwell,1989,185,2.655,82.7,20.27983561,-72.91180565,0.000409934
11,Benwell,1990,175,1.23,83,18.66229466,-47.97181536,0.000346468
11,Benwell,1991,0,2.29,83.3,18.21360615,-48.83626517,0.000282236
11,Benwell,1992,210,2.215,83.6,19.51737661,-69.81459318,0.000354821
11,Benwell,1993,36,3.025,83.9,18.18360615,-32.81663596,0.000288349
11,Benwell,1994,0,2.945,84.2,19.58426186,-64.8966205,0.000341292
11,Benwell,1995,,1.965,84.5,19.25278645,-60.49589853,0.000372083
