"trap","year","size","allseeds"
1,2009,0.17008125,15
1,2010,0.17008125,179
1,2011,0.17008125,20
1,2012,0.17008125,38
1,2013,0.17008125,7
1,2014,0.17008125,100
1,2015,0.17008125,39
1,2016,0.17008125,59
1,2017,0.17008125,72
1,2018,0.17008125,10
1,2019,0.17008125,232
1,2020,0.17008125,11
1,2021,0.17008125,10
1,2022,0.17008125,27
1,2022,0.17008125,96
2,2009,0.17008125,13
2,2010,0.17008125,260
2,2011,0.17008125,30
2,2012,0.17008125,8
2,2013,0.17008125,4
2,2014,0.17008125,139
2,2015,0.17008125,50
2,2016,0.17008125,76
2,2017,0.17008125,110
2,2018,0.17008125,18
2,2019,0.17008125,197
2,2020,0.17008125,30
2,2021,0.17008125,8
2,2022,0.17008125,74
3,2009,0.17008125,9
3,2010,0.17008125,249
3,2011,0.17008125,48
3,2012,0.17008125,14
3,2013,0.17008125,19
3,2014,0.17008125,119
3,2015,0.17008125,22
3,2016,0.17008125,95
3,2017,0.17008125,91
3,2018,0.17008125,22
3,2019,0.17008125,221
3,2020,0.17008125,14
3,2021,0.17008125,2
3,2022,0.17008125,39
4,2009,0.17008125,3
4,2010,0.17008125,194
4,2011,0.17008125,21
4,2012,0.17008125,62
4,2013,0.17008125,0
4,2014,0.17008125,117
4,2015,0.17008125,23
4,2016,0.17008125,37
4,2017,0.17008125,45
4,2018,0.17008125,8
4,2019,0.17008125,221
4,2020,0.17008125,12
4,2021,0.130725,4
4,2022,0.130725,93
5,2009,0.17008125,6
5,2010,0.17008125,156
5,2011,0.17008125,21
5,2012,0.17008125,25
5,2013,0.17008125,10
5,2014,0.17008125,76
5,2015,0.17008125,14
5,2016,0.17008125,19
5,2017,0.17008125,46
5,2018,0.17008125,15
5,2019,0.17008125,217
5,2020,0.17008125,25
5,2021,0.17008125,1
5,2022,0.17008125,39
6,2009,0.17008125,2
6,2010,0.17008125,66
6,2011,0.17008125,8
6,2012,0.17008125,21
6,2013,0.17008125,2
6,2014,0.17008125,45
6,2015,0.17008125,7
6,2016,0.17008125,19
6,2017,0.17008125,24
6,2018,0.17008125,5
6,2019,0.17008125,110
6,2020,0.17008125,6
